Log created on 30-4-2018__16.12.27
KalibrasiCHT

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
42167.0	32.58	694.0	833.32	20.0	34.0	0.0	3500.0	0.0	0.0
42220.0	32.28	692.0	833.32	20.0	36.0	0.0	3500.0	0.0	0.0
42273.0	32.53	692.0	833.32	20.0	37.0	0.0	3500.0	0.0	0.0
42321.0	32.61	701.0	833.32	20.0	37.0	0.0	3500.0	0.0	0.0
42370.0	32.35	693.0	833.32	20.0	38.0	0.0	3500.0	0.0	0.0
42423.0	32.48	695.0	833.32	20.0	38.0	0.0	3500.0	0.0	0.0
42471.0	32.05	701.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42514.0	32.27	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42567.0	32.35	699.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42615.0	32.15	691.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42663.0	32.17	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42712.0	32.08	688.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42760.0	32.19	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42813.0	32.09	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42861.0	32.09	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42914.0	32.35	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
42962.0	32.21	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43016.0	32.41	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43064.0	32.46	701.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43112.0	32.26	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43160.0	32.34	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43213.0	32.07	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43267.0	32.26	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43315.0	32.26	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43363.0	32.03	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43411.0	32.36	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
43464.0	32.26	688.0	833.32	20.0	37.0	0.0	3500.0	0.0	0.0
43512.0	32.31	694.0	833.32	20.0	34.0	0.0	3500.0	0.0	0.0
43566.0	32.41	696.0	833.32	20.0	33.0	0.0	3500.0	0.0	0.0
43614.0	32.23	690.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
43662.0	32.38	694.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
43715.0	32.41	695.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
43768.0	32.12	692.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
43822.0	32.26	694.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
43870.0	32.28	701.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
43918.0	32.15	693.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
43971.0	32.24	696.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
44019.0	32.04	703.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44067.0	32.18	694.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
44115.0	32.15	698.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
44164.0	32.18	695.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
44217.0	32.44	696.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
44265.0	32.25	692.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
44313.0	32.56	694.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
44360.0	32.67	694.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
44408.0	32.54	695.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44463.0	32.7	701.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44510.0	32.09	690.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44564.0	32.38	694.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44611.0	32.35	699.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44659.0	32.26	690.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44713.0	32.32	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44761.0	32.06	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44815.0	32.16	694.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44868.0	32.11	697.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44916.0	31.77	688.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
44969.0	32.1	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45011.0	31.83	701.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45065.0	31.94	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45113.0	32.06	695.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45166.0	31.71	692.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45214.0	32.09	692.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45262.0	31.97	688.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45310.0	31.98	692.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45359.0	32.09	695.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45412.0	31.94	688.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45465.0	31.91	695.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45513.0	31.88	694.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45561.0	31.82	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45615.0	32.01	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45663.0	31.86	689.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45711.0	32.0	694.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45764.0	32.03	698.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45812.0	31.7	688.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45865.0	31.94	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45914.0	31.83	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
45962.0	31.79	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
46010.0	32.04	695.0	833.32	20.0	31.0	0.0	3500.0	0.0	0.0
46063.0	31.94	692.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
46116.0	32.22	693.0	833.32	20.0	32.0	0.0	3500.0	0.0	0.0
46164.0	32.51	701.0	833.32	20.0	33.0	0.0	3500.0	0.0	0.0
46213.0	32.25	691.0	833.32	20.0	35.0	0.0	3500.0	0.0	0.0
46261.0	32.5	692.0	833.32	20.0	37.0	0.0	3500.0	0.0	0.0
46314.0	32.38	701.0	833.32	20.0	37.0	0.0	3500.0	0.0	0.0
46362.0	32.48	695.0	833.32	20.0	38.0	0.0	3500.0	0.0	0.0
46415.0	32.47	695.0	833.32	20.0	38.0	0.0	3500.0	0.0	0.0
46464.0	32.1	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46512.0	32.38	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46565.0	32.39	688.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46613.0	32.4	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46661.0	32.41	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46714.0	32.3	688.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46768.0	32.34	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46816.0	32.22	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46864.0	32.16	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46911.0	32.34	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
46959.0	32.4	701.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47012.0	32.41	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47067.0	32.34	699.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47115.0	32.09	689.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47162.0	32.44	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47210.0	32.54	698.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47263.0	32.65	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47311.0	32.99	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47365.0	32.88	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47413.0	33.22	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47461.0	33.43	698.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47509.0	33.44	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47562.0	33.77	697.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47610.0	33.6	690.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47664.0	33.86	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47712.0	34.19	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47765.0	34.12	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47813.0	34.28	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47861.0	34.33	690.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47915.0	34.34	691.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
47963.0	34.71	701.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48016.0	34.43	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48064.0	34.72	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48112.0	34.93	699.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48165.0	34.78	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48208.0	35.26	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48262.0	35.21	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48315.0	35.39	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48363.0	35.56	701.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48411.0	35.36	691.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48459.0	35.84	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48507.0	35.62	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48561.0	36.0	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48614.0	36.3	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48662.0	36.0	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48710.0	36.44	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48763.0	36.52	688.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48812.0	36.64	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48860.0	36.89	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48913.0	36.88	690.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
48961.0	36.98	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49014.0	37.16	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49062.0	37.3	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49111.0	37.65	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49158.0	37.69	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49212.0	38.02	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49265.0	38.49	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49313.0	38.41	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49367.0	39.04	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49415.0	39.28	701.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49463.0	39.43	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49511.0	39.62	697.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49564.0	39.67	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49617.0	39.96	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49666.0	40.15	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49719.0	40.15	688.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49767.0	40.45	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49815.0	40.28	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49862.0	40.61	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49916.0	40.78	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
49964.0	40.61	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50012.0	41.15	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50065.0	41.47	688.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50113.0	41.48	693.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50161.0	41.81	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50214.0	41.91	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50268.0	42.18	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50316.0	42.21	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50364.0	42.26	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50412.0	42.7	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50460.0	42.88	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50513.0	43.06	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50562.0	43.32	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50615.0	43.24	690.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50663.0	43.65	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50711.0	43.69	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50764.0	43.89	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50812.0	44.11	697.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50866.0	44.05	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50914.0	44.52	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
50967.0	44.81	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51015.0	44.74	692.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51058.0	45.29	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51111.0	45.6	689.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51165.0	45.79	697.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51213.0	46.17	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51261.0	46.31	689.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51314.0	46.63	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51362.0	46.8	695.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51410.0	46.88	700.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51464.0	47.41	702.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51517.0	47.46	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51565.0	47.68	697.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51613.0	48.03	698.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51666.0	48.05	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51714.0	48.32	698.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51762.0	48.36	697.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51816.0	48.58	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51869.0	48.7	699.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51911.0	48.32	694.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
51959.0	49.02	698.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52013.0	49.25	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52061.0	49.2	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52114.0	49.75	699.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52162.0	49.56	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52215.0	49.84	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52263.0	50.06	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52312.0	49.77	696.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52365.0	50.28	699.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
52413.0	50.17	703.0	833.32	20.0	39.0	0.0	3500.0	0.0	0.0
