Log created on 30-4-2018__17.7.14
Tes 1

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
39366.0	27.08	27.09	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39410.0	27.05	27.08	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39454.0	27.11	27.11	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39499.0	27.17	27.02	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39548.0	27.06	27.03	833.32	19.87	9.0	0.0	3600.0	0.0	0.0
39593.0	27.0	26.98	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39638.0	27.09	27.07	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39682.0	27.27	27.22	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39726.0	27.19	27.11	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39771.0	27.08	27.05	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39815.0	27.06	26.86	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39859.0	27.0	26.9	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39909.0	26.97	26.9	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39953.0	27.29	27.15	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
39997.0	27.14	27.12	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40041.0	27.05	27.13	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40086.0	27.05	26.82	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40130.0	27.03	26.88	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40174.0	27.0	26.89	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40224.0	27.1	26.99	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40268.0	27.08	26.99	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40312.0	27.15	27.19	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40363.0	26.9	26.95	833.32	19.87	9.0	0.0	3600.0	0.0	0.0
40407.0	26.98	27.0	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40451.0	27.04	27.02	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40501.0	27.1	27.0	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40545.0	27.07	27.02	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40584.0	27.06	27.11	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40634.0	27.03	27.09	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40678.0	27.02	27.11	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40728.0	27.05	27.04	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40772.0	27.1	27.1	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40822.0	27.38	27.29	833.32	19.85	9.0	0.0	3600.0	0.0	0.0
40866.0	27.16	27.16	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40910.0	27.1	27.09	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40954.0	27.02	26.83	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
40999.0	27.02	26.86	833.32	19.86	9.0	0.0	3600.0	0.0	0.0
