Log created on 30-4-2018__20.59.2


Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
509854.0	198.19	22.98	4.81	17.68	10.0	0.0	3600.0	48.92	0.0
509904.0	198.19	22.99	5.2	17.74	10.0	0.0	3600.0	48.92	0.0
509949.0	198.19	23.1	5.06	17.75	10.0	0.0	3600.0	48.92	0.0
509995.0	198.19	23.14	4.63	17.77	10.0	0.0	3600.0	48.92	0.0
510040.0	198.19	23.11	5.03	17.8	10.0	0.0	3600.0	48.92	0.0
510085.0	198.19	23.06	4.59	17.83	10.0	0.0	3600.0	48.92	0.0
510136.0	198.19	23.06	4.31	17.86	10.0	0.0	3600.0	48.92	0.0
510187.0	198.19	22.95	5.25	17.65	10.0	0.0	3600.0	48.92	0.0
510232.0	198.19	23.01	4.55	17.6	10.0	0.0	3600.0	48.92	0.0
510277.0	198.19	22.9	8.95	17.5	10.0	0.0	3600.0	48.92	0.0
510327.0	198.19	22.97	6.58	17.46	10.0	0.0	3600.0	48.92	0.0
510372.0	198.19	22.86	6.16	17.44	10.0	0.0	3600.0	48.92	0.0
510417.0	198.19	22.82	6.43	17.48	10.0	0.0	3600.0	48.92	0.0
510469.0	198.19	22.81	5.77	17.4	10.0	0.0	3600.0	48.92	0.0
510520.0	198.19	22.82	5.37	17.42	10.0	0.0	3600.0	48.92	0.0
510565.0	198.19	22.84	5.04	17.33	10.0	0.0	3600.0	48.92	0.0
510610.0	198.19	22.83	21.14	17.26	10.0	0.0	3600.0	48.92	0.0
510655.0	198.19	22.82	36.11	17.41	10.0	0.0	3600.0	48.92	0.0
510701.0	198.19	22.83	31.51	17.51	10.0	0.0	3600.0	48.92	0.0
510752.0	198.19	22.9	24.06	17.59	10.0	0.0	3600.0	48.92	0.0
510797.0	198.19	22.9	40.46	17.65	10.0	0.0	3600.0	48.92	0.0
510843.0	198.19	22.92	48.33	17.59	10.0	0.0	3600.0	48.92	0.0
510888.0	198.19	22.88	45.77	17.63	10.0	0.0	3600.0	48.92	0.0
510935.0	198.19	22.82	45.75	17.64	10.0	0.0	3600.0	48.92	0.0
510986.0	198.19	22.7	38.8	17.67	10.0	0.0	3600.0	48.92	0.0
511031.0	198.19	22.69	35.08	17.66	10.0	0.0	3600.0	48.92	0.0
511077.0	198.19	22.7	27.47	17.67	10.0	0.0	3600.0	48.92	0.0
