Log created on 1-5-2018__15.1.36
Tes1

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
8245.0	23.1	23.8	1.12	17.45	9.0	1859.2	3600.0	100.0	1.0
8302.0	23.12	23.86	1.12	17.36	9.0	2058.46	3600.0	100.0	1.0
8360.0	23.38	24.14	1.12	16.97	9.0	1814.66	3600.0	100.0	1.0
8419.0	23.13	23.84	1.12	17.13	9.0	1986.76	3600.0	100.0	1.0
8473.0	23.28	23.9	1.13	16.95	9.0	1883.71	3600.0	100.0	1.0
8538.0	23.51	24.0	1.13	16.78	9.0	1665.19	3600.0	100.0	1.0
8596.0	23.74	24.22	1.13	16.7	9.0	1747.44	3600.0	100.0	1.0
8650.0	23.69	24.28	1.13	16.83	9.0	1609.27	3600.0	100.0	1.0
8709.0	23.6	24.27	1.13	17.03	9.0	1782.95	3600.0	100.0	1.0
8772.0	23.38	24.06	1.12	17.8	9.0	1769.91	3600.0	100.0	1.0
8830.0	23.34	24.07	1.12	18.03	9.0	1592.69	3600.0	100.0	1.0
8885.0	22.91	23.66	1.12	17.9	9.0	1835.54	3600.0	100.0	1.0
8949.0	23.18	23.88	1.12	17.39	9.0	1784.86	3600.0	100.0	1.0
9001.0	23.7	24.2	1.12	17.05	9.0	1840.27	3600.0	100.0	1.0
9065.0	23.5	23.94	1.12	17.16	9.0	1822.82	3600.0	100.0	1.0
9123.0	23.22	23.87	1.12	17.54	9.0	1990.71	3600.0	100.0	1.0
9187.0	23.38	24.11	1.12	17.59	9.0	1910.34	3600.0	100.0	1.0
9245.0	23.19	24.05	1.12	17.65	9.0	1999.73	3600.0	100.0	1.0
9299.0	23.37	24.1	1.12	17.71	9.0	1856.67	3600.0	100.0	1.0
9358.0	23.17	23.99	1.12	17.7	9.0	1940.74	3600.0	100.0	1.0
9416.0	23.62	24.26	1.12	17.6	9.0	1671.31	3600.0	100.0	1.0
9475.0	23.45	24.07	1.12	18.35	9.0	1878.99	3600.0	100.0	1.0
9535.0	23.06	23.72	1.12	18.94	9.0	1914.24	3600.0	100.0	1.0
9592.0	23.63	24.15	1.12	18.56	9.0	1643.84	3600.0	100.0	1.0
9651.0	23.91	24.34	1.12	18.12	9.0	1809.63	3600.0	100.0	1.0
9706.0	23.94	24.37	1.13	17.58	9.0	1776.83	3600.0	100.0	1.0
9763.0	23.96	24.41	1.13	17.21	9.0	1918.16	3600.0	100.0	1.0
9822.0	23.65	24.14	1.12	17.48	9.0	1883.0	3600.0	100.0	1.0
9880.0	23.58	23.78	1.12	17.26	9.0	1960.53	3600.0	100.0	1.0
9929.0	23.25	23.64	1.12	17.64	9.0	1830.38	3600.0	100.0	1.0
9987.0	23.16	23.46	1.13	17.53	9.0	2104.38	3600.0	100.0	1.0
10045.0	23.21	23.66	1.12	17.72	9.0	1891.79	3600.0	100.0	1.0
10104.0	22.95	23.55	1.12	18.17	9.0	2009.65	3600.0	100.0	1.0
10163.0	23.03	23.68	1.12	18.63	9.0	1754.18	3600.0	100.0	1.0
10218.0	23.18	23.79	1.13	18.79	9.0	1617.43	3600.0	100.0	1.0
10283.0	23.61	24.25	1.13	18.7	9.0	1649.08	3600.0	100.0	1.0
10341.0	23.9	24.5	1.13	17.71	9.0	1562.17	3600.0	100.0	1.0
10396.0	23.64	24.36	1.12	18.6	9.0	1439.68	3600.0	100.0	1.0
10455.0	23.38	24.04	1.12	19.07	9.0	1901.62	3600.0	100.0	1.0
10510.0	23.33	24.02	1.11	19.41	9.0	1830.16	3600.0	100.0	1.0
10574.0	23.39	24.12	1.12	18.99	9.0	1754.39	3600.0	100.0	1.0
10633.0	23.5	24.01	1.12	18.91	9.0	1922.09	3600.0	100.0	1.0
10697.0	23.63	24.14	1.13	18.86	9.0	1700.68	3600.0	100.0	1.0
10753.0	23.61	24.14	1.13	18.77	9.0	1638.45	3600.0	100.0	1.0
10817.0	23.43	24.04	1.12	18.57	9.0	1702.22	3600.0	100.0	1.0
10875.0	23.46	23.86	1.12	18.23	9.0	1848.2	3600.0	100.0	1.0
10940.0	23.69	24.15	1.13	18.1	9.0	1662.97	3600.0	100.0	1.0
10998.0	23.95	24.28	1.13	18.22	9.0	1829.05	3600.0	100.0	1.0
11060.0	23.73	24.18	1.13	18.71	9.0	1735.11	3600.0	100.0	1.0
11118.0	23.92	24.29	1.13	18.38	9.0	1722.95	3600.0	100.0	1.0
11176.0	24.01	24.41	1.13	18.18	9.0	1752.95	3600.0	100.0	1.0
11226.0	24.07	24.43	1.13	18.27	9.0	1870.32	3600.0	100.0	1.0
11290.0	23.88	24.28	1.12	18.63	9.0	1895.61	3600.0	100.0	1.0
11350.0	23.72	24.08	1.12	18.74	9.0	1758.5	3600.0	100.0	1.0
11408.0	23.49	23.95	1.12	18.85	9.0	1908.64	3600.0	100.0	1.0
11466.0	23.7	24.12	1.12	18.46	9.0	1901.86	3600.0	100.0	1.0
11531.0	23.45	23.7	1.12	18.67	9.0	2008.84	3600.0	100.0	1.0
11589.0	23.39	23.96	1.13	18.4	9.0	1867.3	3600.0	100.0	1.0
11648.0	23.16	23.75	1.12	18.67	9.0	1887.03	3600.0	100.0	1.0
11709.0	23.36	23.95	1.12	18.54	9.0	1793.4	3600.0	100.0	1.0
11761.0	23.18	23.79	1.12	18.58	9.0	1827.93	3600.0	100.0	1.0
11820.0	23.2	23.81	1.12	18.09	9.0	1905.73	3600.0	100.0	1.0
11884.0	23.36	23.9	1.13	18.24	9.0	1973.68	3600.0	100.0	1.0
11943.0	23.76	24.22	1.12	18.11	9.0	1955.16	3600.0	100.0	1.0
11993.0	24.01	24.41	1.13	18.05	9.0	1829.71	3600.0	100.0	1.0
12051.0	24.0	24.25	1.13	18.4	9.0	1790.62	3600.0	100.0	1.0
12115.0	23.61	23.9	1.12	18.98	9.0	2006.96	3600.0	100.0	1.0
12180.0	23.6	23.82	1.13	19.09	9.0	1747.84	3600.0	100.0	1.0
12232.0	23.62	23.98	1.13	18.92	9.0	1746.22	3600.0	100.0	1.0
12288.0	23.93	24.39	1.12	18.05	9.0	1880.17	3600.0	100.0	1.0
12352.0	24.11	24.43	1.13	17.75	9.0	1742.97	3600.0	100.0	1.0
12410.0	24.12	24.53	1.13	18.52	9.0	1466.28	3600.0	100.0	1.0
12472.0	24.38	24.76	1.13	18.78	8.0	1543.85	3600.0	100.0	1.0
12530.0	23.94	24.38	1.12	19.12	8.0	1654.9	3600.0	100.0	1.0
12585.0	23.6	24.1	1.12	19.3	8.0	1501.65	3600.0	100.0	1.0
12650.0	23.63	24.28	1.12	18.72	9.0	1731.5	3600.0	100.0	1.0
12715.0	23.86	24.61	1.12	18.13	9.0	1573.98	3600.0	100.0	1.0
12775.0	23.74	24.64	1.12	17.72	8.0	1450.54	3600.0	100.0	1.0
