Log created on 1-5-2018__16.12.57
Tes 3

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
7713.0	23.84	27.68	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
7768.0	23.93	27.72	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
7827.0	23.9	27.73	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
7886.0	23.95	27.75	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
7946.0	23.96	27.73	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8004.0	23.83	27.66	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8064.0	23.92	27.67	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8123.0	23.88	27.65	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8177.0	23.92	27.62	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8237.0	23.94	27.65	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8295.0	23.97	27.71	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8354.0	23.97	27.73	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8414.0	23.96	27.74	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8468.0	23.97	27.74	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8532.0	24.01	27.69	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8586.0	23.88	27.64	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8645.0	23.9	27.72	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8710.0	23.96	27.76	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8764.0	23.98	27.74	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8823.0	23.97	27.73	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8877.0	24.02	27.76	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
8941.0	23.97	27.74	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9000.0	24.03	27.7	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9060.0	23.98	27.66	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9119.0	24.0	27.73	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9172.0	24.0	27.72	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9232.0	24.0	27.72	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9291.0	23.99	27.76	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9351.0	23.94	27.73	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9409.0	23.97	27.75	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9463.0	23.96	27.75	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9523.0	23.92	27.71	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9582.0	24.0	27.73	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9635.0	24.13	27.85	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9700.0	24.07	27.78	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9749.0	23.93	27.64	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9808.0	23.95	27.7	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9873.0	23.93	27.68	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9926.0	23.95	27.69	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
9991.0	23.96	27.66	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10040.0	24.01	27.71	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10105.0	24.04	27.71	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10160.0	23.98	27.72	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10219.0	23.92	27.65	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
10273.0	23.94	27.74	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10339.0	23.94	27.75	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10393.0	23.94	27.77	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10454.0	23.96	27.81	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10513.0	23.97	27.78	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10567.0	23.95	27.74	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10628.0	23.96	27.79	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10687.0	23.97	27.8	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10746.0	24.01	27.82	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
10802.0	24.06	27.86	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
10861.0	24.08	27.86	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
10920.0	24.11	27.87	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
10981.0	24.12	27.87	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11035.0	24.09	27.85	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11101.0	24.11	27.87	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11155.0	24.11	27.87	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11214.0	24.05	27.75	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11274.0	24.12	27.81	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11334.0	24.18	27.85	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11394.0	24.08	27.87	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
11454.0	24.04	27.82	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
11513.0	23.98	27.78	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
11568.0	23.96	27.66	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
11628.0	24.0	27.74	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
11687.0	24.06	27.81	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11747.0	24.1	27.85	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11796.0	24.18	27.86	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11856.0	24.13	27.81	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
11916.0	24.19	27.82	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
11970.0	24.17	27.84	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12030.0	24.19	27.87	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12090.0	24.11	27.82	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
12150.0	24.17	27.83	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12210.0	24.18	27.86	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12264.0	24.13	27.86	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12324.0	24.1	27.86	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12379.0	24.07	27.86	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12433.0	24.23	27.96	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
12492.0	24.04	27.8	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12553.0	24.02	27.82	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
12612.0	24.03	27.87	1.14	20.0	9.0	0.0	3600.0	0.0	0.0
