Log created on 1-5-2018__17.31.44
10

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
13252.0	21.75	30.49	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13319.0	21.64	30.48	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13384.0	21.67	30.41	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
13445.0	21.65	30.5	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
13505.0	21.71	30.5	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13565.0	21.64	30.49	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13626.0	21.81	30.51	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13691.0	21.77	30.51	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13752.0	21.72	30.45	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13818.0	21.75	30.48	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13873.0	21.74	30.47	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13933.0	21.83	30.6	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
13993.0	21.76	30.59	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14054.0	21.77	30.54	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14114.0	21.87	30.53	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14180.0	21.84	30.52	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14235.0	21.98	30.53	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
14301.0	21.92	30.53	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14361.0	21.78	30.51	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14422.0	21.92	30.47	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14482.0	21.91	30.5	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
14542.0	21.88	30.51	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
14608.0	21.85	30.51	1.13	20.0	9.0	0.0	3500.0	0.0	0.0
14674.0	21.68	30.48	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14735.0	21.66	30.48	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
14789.0	21.65	30.49	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
14850.0	21.58	30.33	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
14910.0	21.62	30.33	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
14970.0	21.8	30.4	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
15031.0	21.92	30.45	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
15091.0	21.94	30.49	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
15152.0	21.81	30.49	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
15212.0	21.85	30.54	1.14	19.99	10.0	0.0	3500.0	0.0	0.0
15272.0	21.77	30.5	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
15333.0	21.86	30.49	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
15399.0	21.64	30.19	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
15460.0	21.72	30.31	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
15520.0	21.77	30.39	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
15575.0	21.83	30.45	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
15635.0	21.68	30.46	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
15695.0	21.81	30.5	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
15756.0	21.86	30.49	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
15816.0	21.82	30.51	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
15883.0	21.83	30.51	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
15937.0	21.9	30.54	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
15997.0	21.87	30.53	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16058.0	21.86	30.52	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16113.0	21.84	30.51	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16167.0	21.82	30.53	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
16234.0	21.9	30.59	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
16288.0	21.85	30.53	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16349.0	21.83	30.53	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16409.0	21.82	30.61	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
16470.0	21.8	30.56	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16530.0	21.89	30.54	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16590.0	21.82	30.42	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16651.0	21.8	30.4	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
16706.0	21.83	30.43	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16766.0	21.84	30.4	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16832.0	21.84	30.46	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16887.0	21.89	30.47	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
16942.0	21.88	30.48	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
17002.0	21.82	30.47	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
17062.0	21.85	30.49	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
17123.0	21.98	30.62	1.13	20.0	9.0	0.0	3500.0	0.0	0.0
17182.0	21.78	30.49	1.13	20.0	9.0	0.0	3500.0	0.0	0.0
17236.0	21.84	30.43	1.13	20.0	9.0	0.0	3500.0	0.0	0.0
17307.0	21.83	30.45	1.14	20.0	9.0	0.0	3500.0	0.0	0.0
17361.0	21.72	30.41	1.13	20.0	8.0	0.0	3500.0	0.0	0.0
17422.0	21.8	30.42	1.14	20.0	8.0	0.0	3500.0	0.0	0.0
17481.0	21.6	30.33	1.13	20.0	7.0	0.0	3500.0	0.0	0.0
17542.0	21.69	30.37	1.13	20.0	7.0	0.0	3500.0	0.0	0.0
17601.0	21.54	30.32	1.14	20.0	7.0	0.0	3500.0	0.0	0.0
17655.0	21.48	30.15	1.14	20.0	7.0	0.0	3500.0	0.0	0.0
17721.0	21.59	30.26	1.14	20.0	7.0	0.0	3500.0	0.0	0.0
17775.0	21.76	30.33	1.14	20.0	7.0	0.0	3500.0	0.0	0.0
17835.0	21.82	30.4	1.14	20.0	7.0	0.0	3500.0	0.0	0.0
17900.0	21.76	30.38	1.14	20.0	8.0	0.0	3500.0	0.0	0.0
17954.0	21.69	30.36	1.13	20.0	8.0	0.0	3500.0	0.0	0.0
18015.0	21.8	30.39	1.13	20.0	8.0	0.0	3500.0	0.0	0.0
18074.0	21.75	30.35	1.14	20.0	9.0	0.0	3500.0	0.0	0.0
18135.0	21.67	30.35	1.14	20.0	9.0	0.0	3500.0	0.0	0.0
18194.0	21.62	30.24	1.14	20.0	9.0	0.0	3500.0	0.0	0.0
18254.0	21.74	30.33	1.13	20.0	9.0	0.0	3500.0	0.0	0.0
18314.0	21.77	30.38	1.13	20.0	9.0	0.0	3500.0	0.0	0.0
18374.0	21.89	30.42	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18429.0	21.73	30.2	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18495.0	21.67	30.22	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18555.0	21.56	30.27	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18611.0	21.54	30.28	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18671.0	21.66	30.25	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18732.0	21.58	30.25	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
18786.0	21.56	30.18	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18846.0	21.67	30.25	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18907.0	21.69	30.36	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
18962.0	21.76	30.35	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
19022.0	21.73	30.36	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
19083.0	21.69	30.31	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19138.0	21.84	30.52	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19198.0	21.75	30.36	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19259.0	21.66	30.25	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19324.0	21.64	30.28	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19380.0	21.61	30.31	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19440.0	21.62	30.27	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19501.0	21.62	30.25	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19561.0	21.66	30.27	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19621.0	21.67	30.26	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19682.0	21.69	30.35	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
19742.0	21.58	30.28	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19803.0	21.62	30.24	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19863.0	21.69	30.32	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19923.0	21.74	30.38	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
19984.0	21.83	30.49	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20038.0	21.66	30.37	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
20099.0	21.59	30.36	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20154.0	21.66	30.34	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20214.0	21.72	30.44	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20280.0	21.74	30.31	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
20340.0	21.76	30.26	1.14	20.0	10.0	0.0	3500.0	0.0	0.0
20407.0	21.72	30.3	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20467.0	21.69	30.26	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20528.0	21.63	30.28	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20582.0	21.7	30.32	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20648.0	21.72	30.3	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20709.0	21.69	30.27	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20780.0	21.63	30.25	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20835.0	21.7	30.34	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20890.0	21.65	30.27	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
20956.0	21.65	30.24	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
21016.0	21.61	30.31	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
21076.0	21.58	30.28	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
21148.0	21.65	30.24	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
21202.0	21.64	30.24	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
21263.0	21.73	30.34	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
21323.0	21.85	30.49	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
21390.0	21.69	30.32	1.13	20.0	10.0	0.0	3500.0	0.0	0.0
