Log created on 1-5-2018__17.6.20
tes 8

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
5160.0	22.27	35.99	1.14	18.41	0.0	0.0	3500.0	0.0	0.0
5214.0	22.29	35.95	1.14	18.41	0.0	0.0	3500.0	0.0	0.0
5278.0	22.2	35.89	1.13	18.62	0.0	0.0	3500.0	0.0	0.0
5338.0	22.04	35.86	1.13	18.61	0.0	0.0	3500.0	0.0	0.0
5402.0	22.0	35.85	1.13	18.82	0.0	0.0	3500.0	0.0	0.0
5456.0	22.04	35.83	1.13	18.84	0.0	0.0	3500.0	0.0	0.0
5521.0	22.05	35.84	1.13	19.21	0.0	0.0	3500.0	0.0	0.0
5574.0	22.05	35.84	1.13	19.43	0.0	0.0	3500.0	0.0	0.0
5639.0	22.19	35.91	1.13	19.61	0.0	0.0	3500.0	0.0	0.0
5698.0	22.06	35.87	1.13	19.69	0.0	0.0	3500.0	0.0	0.0
5763.0	22.11	35.88	1.13	19.64	0.0	0.0	3500.0	0.0	0.0
5822.0	22.05	35.85	1.13	19.64	0.0	0.0	3500.0	0.0	0.0
5880.0	22.13	35.92	1.13	19.64	0.0	0.0	3500.0	0.0	0.0
5943.0	22.2	36.0	1.13	19.59	0.0	0.0	3500.0	0.0	0.0
5997.0	22.35	36.13	1.13	19.41	0.0	0.0	3500.0	0.0	0.0
6056.0	22.36	36.16	1.14	19.13	0.0	0.0	3500.0	0.0	2.0
6116.0	22.32	36.09	1.14	18.97	0.0	0.0	3500.0	0.0	2.0
6175.0	22.28	36.02	1.14	18.88	0.0	0.0	3500.0	0.0	2.0
6235.0	22.17	35.95	1.13	19.14	0.0	0.0	3500.0	0.0	2.0
6294.0	22.17	35.99	1.13	19.33	0.0	0.0	3500.0	0.0	2.0
6353.0	22.13	35.94	1.13	19.53	0.0	0.0	3500.0	0.0	2.0
6429.0	22.17	35.94	1.13	19.61	0.0	0.0	3500.0	0.0	2.0
6494.0	22.1	35.94	1.13	19.77	0.0	0.0	3500.0	0.0	2.0
6553.0	22.08	35.94	1.13	19.87	0.0	0.0	3500.0	0.0	0.0
6618.0	22.07	35.97	1.13	19.87	0.0	0.0	3500.0	0.0	0.0
6682.0	22.06	35.94	1.13	19.93	0.0	0.0	3500.0	0.0	0.0
6747.0	22.03	35.91	1.13	19.95	0.0	0.0	3500.0	0.0	0.0
6805.0	21.99	35.91	1.13	19.97	0.0	0.0	3500.0	0.0	0.0
6864.0	22.03	35.9	1.13	19.98	0.0	0.0	3500.0	0.0	0.0
6924.0	22.0	35.91	1.13	19.97	0.0	0.0	3500.0	0.0	0.0
6988.0	22.07	35.91	1.13	19.85	0.0	0.0	3500.0	0.0	0.0
7047.0	22.17	35.92	1.13	19.84	0.0	0.0	3500.0	0.0	0.0
7106.0	22.13	35.9	1.13	19.9	0.0	0.0	3500.0	0.0	0.0
7165.0	22.05	35.9	1.13	19.89	0.0	0.0	3500.0	0.0	0.0
7225.0	22.04	35.81	1.13	19.83	0.0	0.0	3500.0	0.0	0.0
7283.0	21.93	35.79	1.13	19.7	0.0	0.0	3500.0	0.0	0.0
7343.0	21.95	35.84	1.13	19.69	0.0	0.0	3500.0	0.0	0.0
7397.0	22.02	35.89	1.13	19.74	0.0	0.0	3500.0	0.0	0.0
7461.0	22.12	35.95	1.13	19.77	0.0	0.0	3500.0	0.0	0.0
7520.0	22.0	35.91	1.13	19.86	0.0	0.0	3500.0	0.0	0.0
7579.0	22.02	35.96	1.14	19.91	0.0	0.0	3500.0	0.0	0.0
7639.0	22.01	35.96	1.13	19.93	0.0	0.0	3500.0	0.0	0.0
7698.0	22.07	35.96	1.13	19.94	0.0	0.0	3500.0	0.0	0.0
7762.0	22.14	35.94	1.13	19.97	0.0	0.0	3500.0	0.0	0.0
7821.0	22.16	35.99	1.14	19.98	0.0	0.0	3500.0	0.0	0.0
7880.0	22.04	35.96	1.13	19.98	0.0	0.0	3500.0	0.0	0.0
7940.0	22.05	35.98	1.13	19.94	0.0	0.0	3500.0	0.0	0.0
7998.0	22.12	35.97	1.13	19.95	0.0	0.0	3500.0	0.0	0.0
8057.0	22.06	35.95	1.13	19.97	0.0	0.0	3500.0	0.0	0.0
8117.0	22.15	35.94	1.13	19.98	0.0	0.0	3500.0	0.0	0.0
8186.0	22.11	35.98	1.13	19.88	0.0	0.0	3500.0	0.0	0.0
8246.0	22.24	35.96	1.13	19.85	0.0	0.0	3500.0	0.0	0.0
8305.0	22.16	35.95	1.13	19.9	0.0	0.0	3500.0	0.0	0.0
8364.0	22.15	35.96	1.13	19.94	0.0	0.0	3500.0	0.0	0.0
8423.0	22.16	35.99	1.13	19.91	0.0	0.0	3500.0	0.0	0.0
8482.0	22.07	35.98	1.13	19.9	0.0	0.0	3500.0	0.0	0.0
8542.0	22.04	36.02	1.13	19.79	0.0	0.0	3500.0	0.0	0.0
8600.0	22.04	36.03	1.13	19.8	0.0	0.0	3500.0	0.0	0.0
8659.0	22.16	36.03	1.13	19.86	0.0	0.0	3500.0	0.0	0.0
8719.0	22.03	35.99	1.13	19.88	0.0	0.0	3500.0	0.0	0.0
8778.0	22.0	36.0	1.13	19.85	0.0	0.0	3500.0	0.0	0.0
8837.0	22.12	35.98	1.13	19.84	0.0	0.0	3500.0	0.0	0.0
8896.0	21.99	35.96	1.13	19.79	0.0	0.0	3500.0	0.0	0.0
8950.0	22.07	35.93	1.13	19.68	0.0	0.0	3500.0	0.0	0.0
9015.0	22.12	35.92	1.13	19.48	0.0	0.0	3500.0	0.0	0.0
9073.0	22.16	35.96	1.13	19.31	0.0	0.0	3500.0	0.0	0.0
9133.0	22.12	35.97	1.13	19.3	0.0	0.0	3500.0	0.0	0.0
9192.0	22.03	36.0	1.13	19.37	0.0	0.0	3500.0	0.0	0.0
9251.0	22.05	35.98	1.13	19.37	0.0	0.0	3500.0	0.0	0.0
9311.0	22.06	35.96	1.13	19.41	0.0	0.0	3500.0	0.0	0.0
9369.0	22.07	35.97	1.13	19.47	0.0	0.0	3500.0	0.0	0.0
9428.0	22.06	35.88	1.14	19.63	0.0	0.0	3500.0	0.0	0.0
9488.0	21.99	35.99	1.13	19.73	0.0	0.0	3500.0	0.0	0.0
9547.0	21.95	35.97	1.13	19.85	0.0	0.0	3500.0	0.0	0.0
9606.0	21.93	35.91	1.14	19.89	0.0	0.0	3500.0	0.0	0.0
9665.0	21.92	35.93	1.14	19.86	0.0	0.0	3500.0	0.0	0.0
9724.0	22.03	35.99	1.13	19.79	0.0	0.0	3500.0	0.0	0.0
9784.0	21.99	35.99	1.13	19.72	0.0	0.0	3500.0	0.0	0.0
9837.0	22.04	35.99	1.13	19.63	0.0	0.0	3500.0	0.0	0.0
9896.0	22.06	35.97	1.13	19.65	0.0	0.0	3500.0	0.0	0.0
9956.0	21.95	35.84	1.14	19.65	0.0	0.0	3500.0	0.0	0.0
10020.0	21.99	35.89	1.14	19.65	0.0	0.0	3500.0	0.0	0.0
10080.0	22.03	35.92	1.13	19.64	0.0	0.0	3500.0	0.0	0.0
10140.0	21.93	35.97	1.13	19.54	0.0	0.0	3500.0	0.0	0.0
10200.0	21.99	36.0	1.13	19.42	0.0	0.0	3500.0	0.0	0.0
10265.0	22.05	36.07	1.13	19.39	0.0	0.0	3500.0	0.0	0.0
10324.0	22.07	36.03	1.13	19.24	0.0	0.0	3500.0	0.0	0.0
10384.0	22.04	36.07	1.13	19.24	0.0	0.0	3500.0	0.0	0.0
10444.0	21.97	35.95	1.13	19.52	0.0	0.0	3500.0	0.0	0.0
10509.0	21.95	35.92	1.13	19.64	0.0	0.0	3500.0	0.0	0.0
10563.0	21.92	36.02	1.14	19.74	0.0	0.0	3500.0	0.0	0.0
10624.0	21.97	36.08	1.13	19.78	0.0	0.0	3500.0	0.0	0.0
10688.0	22.05	36.04	1.13	19.5	0.0	0.0	3500.0	0.0	0.0
10747.0	21.97	35.99	1.13	19.41	0.0	0.0	3500.0	0.0	0.0
10808.0	21.96	36.0	1.13	19.32	0.0	0.0	3500.0	0.0	0.0
10867.0	22.0	35.99	1.13	19.24	0.0	0.0	3500.0	0.0	0.0
10921.0	22.11	35.99	1.13	19.28	0.0	0.0	3500.0	0.0	0.0
10987.0	22.05	35.76	1.13	19.26	0.0	0.0	3500.0	0.0	0.0
11046.0	22.03	35.85	1.13	19.17	0.0	0.0	3500.0	0.0	0.0
11106.0	22.08	35.94	1.13	19.18	0.0	0.0	3500.0	0.0	0.0
11171.0	22.07	35.95	1.13	19.02	0.0	0.0	3500.0	0.0	0.0
11231.0	22.15	36.02	1.13	19.02	0.0	0.0	3500.0	0.0	0.0
11291.0	22.18	36.04	1.14	19.02	0.0	0.0	3500.0	0.0	0.0
11351.0	22.03	36.0	1.14	18.99	0.0	0.0	3500.0	0.0	0.0
11405.0	22.05	36.02	1.13	19.1	0.0	0.0	3500.0	0.0	0.0
11475.0	22.07	35.94	1.13	19.19	0.0	0.0	3500.0	0.0	0.0
11535.0	22.01	35.98	1.13	19.28	0.0	0.0	3500.0	0.0	0.0
11589.0	21.92	35.94	1.13	19.23	0.0	0.0	3500.0	0.0	0.0
11655.0	21.81	35.86	1.13	19.22	0.0	0.0	3500.0	0.0	0.0
11725.0	21.78	35.89	1.13	19.2	0.0	0.0	3500.0	0.0	0.0
11785.0	21.92	36.07	1.14	19.04	0.0	0.0	3500.0	0.0	0.0
11845.0	21.95	36.05	1.13	19.05	0.0	0.0	3500.0	0.0	0.0
11910.0	22.02	35.99	1.13	18.93	0.0	0.0	3500.0	0.0	0.0
11970.0	21.96	35.99	1.13	18.83	0.0	0.0	3500.0	0.0	0.0
