Log created on 1-5-2018__19.9.9
tes11

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
41352.0	21.14	23.73	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41407.0	21.12	23.79	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41467.0	21.31	23.95	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41533.0	20.98	23.72	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41588.0	21.04	23.72	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41660.0	21.15	23.79	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41725.0	20.97	23.7	1.14	20.0	12.0	0.0	3600.0	0.0	0.0
41786.0	20.88	23.66	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41841.0	20.89	23.58	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41902.0	20.84	23.65	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
41962.0	20.83	23.65	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
42022.0	20.85	23.67	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
42083.0	21.07	23.79	1.14	20.0	12.0	0.0	3600.0	0.0	0.0
42143.0	21.05	23.77	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
42199.0	21.02	23.71	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
42258.0	21.05	23.7	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
42318.0	21.05	23.82	1.14	20.0	12.0	0.0	3600.0	0.0	0.0
42374.0	21.13	23.82	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
42434.0	21.12	23.75	1.13	20.0	12.0	0.0	3600.0	0.0	0.0
42494.0	21.08	23.75	1.13	20.0	9.0	0.0	3600.0	0.0	0.0
42554.0	20.2	23.2	1.13	20.0	0.0	0.0	3600.0	0.0	0.0
42614.0	20.36	23.27	1.12	20.0	0.0	0.0	3600.0	0.0	0.0
42679.0	20.64	23.4	1.13	20.0	0.0	0.0	3600.0	0.0	0.0
42744.0	20.81	23.65	1.13	20.0	0.0	0.0	3600.0	0.0	0.0
42799.0	20.85	23.68	1.13	20.0	0.0	0.0	3600.0	0.0	0.0
42858.0	20.85	23.66	1.13	20.0	0.0	0.0	3600.0	0.0	0.0
42917.0	20.93	23.72	1.13	20.0	0.0	0.0	3600.0	0.0	0.0
42983.0	20.93	23.75	1.13	20.0	0.0	0.0	3600.0	0.0	0.0
43042.0	21.0	23.9	1.12	20.0	0.0	0.0	3600.0	0.0	0.0
43103.0	21.01	23.84	1.12	20.0	0.0	0.0	3600.0	0.0	0.0
43167.0	21.01	23.77	1.14	20.0	0.0	0.0	3600.0	0.0	0.0
43222.0	20.96	23.67	1.13	20.0	0.0	0.0	3600.0	0.0	0.0
