Log created on 1-5-2018__22.52.55


Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
933.0	174.42	147.49	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
993.0	174.47	147.54	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1058.0	174.47	147.57	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1133.0	174.48	147.58	7.2	19.98	0.0	0.0	2500.0	0.0	0.0
1199.0	174.48	147.6	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1259.0	174.46	147.59	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1318.0	174.49	147.61	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1379.0	174.51	147.6	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1439.0	174.52	147.57	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1500.0	174.46	147.54	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1554.0	174.44	147.51	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1625.0	174.42	147.51	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1680.0	174.41	147.49	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1740.0	174.41	147.52	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1800.0	174.4	147.5	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1860.0	174.44	147.52	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1910.0	174.42	147.52	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
1971.0	174.41	147.51	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2036.0	174.41	147.51	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2096.0	174.4	147.53	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2151.0	174.4	147.5	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2216.0	174.4	147.51	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2291.0	174.4	147.49	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2352.0	174.4	147.48	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2412.0	174.4	147.49	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2483.0	174.4	147.48	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2537.0	174.42	147.53	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2592.0	174.47	147.56	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2658.0	174.5	147.57	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2713.0	174.5	147.58	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2783.0	174.5	147.57	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
2843.0	174.53	147.58	7.21	19.98	0.0	0.0	2500.0	0.0	0.0
