Log created on 4-5-2018__14.39.51
cek

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
3618.0	-308.04	-274.68	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
3712.0	-308.5	-274.81	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
3784.0	-308.66	-274.86	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
3852.0	-308.73	-274.88	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
3923.0	-307.97	-274.63	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4001.0	-308.26	-274.13	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4064.0	-308.51	-274.48	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4121.0	-308.64	-274.66	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4178.0	-308.71	-274.77	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4240.0	-308.76	-274.83	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
4297.0	-308.78	-274.86	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
4360.0	-308.79	-274.88	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4427.0	-308.8	-274.27	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4478.0	-308.79	-274.53	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4546.0	-308.8	-274.71	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
4624.0	-308.8	-274.73	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4681.0	-308.81	-274.8	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
4743.0	-308.81	-274.85	1.16	19.97	0.0	0.0	3600.0	0.0	0.0
4805.0	-308.81	-274.87	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4857.0	-308.81	-274.88	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4915.0	-308.81	-274.89	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
4976.0	-308.81	-274.89	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
5033.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5086.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5142.0	-308.81	-274.9	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
5199.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5257.0	-308.81	-274.9	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
5313.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5370.0	-308.81	-274.9	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
5428.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5479.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5541.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5599.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5656.0	-308.81	-274.9	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5712.0	-308.66	-274.84	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5775.0	-308.73	-274.87	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5832.0	-308.76	-274.88	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5889.0	-308.68	-274.82	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
5946.0	-308.74	-274.86	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6003.0	-308.77	-274.88	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6061.0	-308.79	-274.89	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6117.0	-308.52	-274.74	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6174.0	-308.65	-274.81	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6232.0	-308.72	-274.85	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6288.0	-308.48	-274.76	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6350.0	-308.63	-274.82	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6403.0	-308.35	-274.71	1.15	19.98	0.0	0.0	3600.0	0.15	19.98
6459.0	-308.55	-274.79	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6521.0	-308.67	-274.84	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6574.0	-308.47	-274.7	1.16	19.98	0.0	0.0	3600.0	0.0	0.0
6631.0	-308.61	-274.78	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6687.0	-308.18	-274.62	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6739.0	-308.44	-274.73	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6802.0	-308.61	-274.81	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6853.0	-308.15	-274.62	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6910.0	-308.44	-274.74	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
6968.0	-307.55	-274.51	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
7019.0	-308.05	-274.67	1.15	19.98	0.0	0.0	3600.0	0.0	0.0
