Log created on 1-5-2018__15.10.34


Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
1482.0	176.5	145.24	7.32	0.84	0.0	0.0	2500.0	38.21	1.0
1552.0	176.82	145.51	7.33	1.09	0.0	0.0	2500.0	-12.98	1.0
1631.0	176.71	145.42	7.33	1.46	0.0	0.0	2500.0	-87.91	1.0
1692.0	176.77	145.51	7.33	0.65	0.0	0.0	2500.0	74.69	1.0
1754.0	176.72	145.49	7.33	0.94	0.0	0.0	2500.0	18.24	1.0
1806.0	176.47	145.29	7.33	1.41	0.0	0.0	2500.0	-77.74	1.0
1867.0	176.54	145.35	7.33	0.6	0.0	0.0	2500.0	84.04	1.0
1937.0	176.67	145.43	7.33	1.18	0.0	0.0	2500.0	-30.44	1.0
1990.0	176.72	145.46	7.33	0.81	0.0	0.0	2500.0	41.56	1.0
2052.0	176.77	145.51	7.34	1.05	0.0	0.0	2500.0	-7.11	1.0
2112.0	176.8	145.54	7.34	1.05	0.0	0.0	2500.0	-7.1	1.0
2173.0	176.8	145.52	7.34	0.99	0.0	0.0	2500.0	6.85	1.0
2235.0	176.79	145.54	7.33	0.99	0.0	0.0	2500.0	7.52	1.0
2287.0	176.66	145.38	7.33	1.25	0.0	0.0	2500.0	-43.3	1.0
2349.0	176.73	145.47	7.33	0.87	0.0	0.0	2500.0	32.68	1.0
2410.0	176.79	145.49	7.33	1.47	0.0	0.0	2500.0	-88.02	1.0
2462.0	176.58	145.3	7.33	0.62	0.0	0.0	2500.0	82.0	1.0
2533.0	176.83	145.53	7.33	1.49	0.0	0.0	2500.0	-93.41	1.0
2593.0	176.79	145.46	7.33	1.23	0.0	0.0	2500.0	-40.55	1.0
2647.0	176.53	145.28	7.33	0.8	0.0	0.0	2500.0	46.52	1.0
2699.0	176.51	145.29	7.33	0.66	0.0	0.0	2500.0	74.13	1.0
2760.0	176.5	145.27	7.33	1.16	0.0	0.0	2500.0	-27.65	1.0
2822.0	176.45	145.22	7.32	0.83	0.0	0.0	2500.0	40.26	1.0
2874.0	176.73	145.48	7.33	0.81	0.0	0.0	2500.0	43.52	1.0
2935.0	176.7	145.47	7.33	0.5	0.0	0.0	2500.0	100.0	1.0
2997.0	176.69	145.49	7.33	1.05	0.0	0.0	2500.0	-4.93	1.0
3049.0	176.6	145.44	7.33	0.85	0.0	0.0	2500.0	36.67	1.0
3110.0	176.68	145.46	7.33	0.68	0.0	0.0	2500.0	70.24	1.0
3171.0	176.67	145.44	7.33	0.67	0.0	0.0	2500.0	72.21	1.0
3232.0	176.69	145.43	7.33	0.53	0.0	0.0	2500.0	99.81	1.0
3286.0	176.38	145.22	7.32	1.09	0.0	0.0	2500.0	-11.98	1.0
3363.0	176.33	145.13	7.32	1.0	0.0	0.0	2500.0	6.87	1.0
3416.0	176.57	145.36	7.33	0.83	0.0	0.0	2500.0	40.99	1.0
3477.0	176.54	145.35	7.33	1.29	0.0	0.0	2500.0	-51.87	1.0
3538.0	176.5	145.3	7.32	0.6	0.0	0.0	2500.0	86.15	1.0
3600.0	176.47	145.29	7.32	1.21	0.0	0.0	2500.0	-36.92	1.0
3660.0	176.48	145.27	7.32	1.26	0.0	0.0	2500.0	-46.18	1.0
3722.0	176.39	145.18	7.32	1.1	0.0	0.0	2500.0	-15.81	1.0
3810.0	176.49	145.22	7.32	1.24	0.0	0.0	2500.0	-41.91	1.0
3870.0	176.5	145.26	7.32	1.38	0.0	0.0	2500.0	-69.86	1.0
3922.0	176.22	145.06	7.32	1.07	0.0	0.0	2500.0	-7.64	1.0
3984.0	176.19	145.08	7.32	1.15	0.0	0.0	2500.0	-24.45	1.0
4045.0	176.23	145.07	7.32	0.6	0.0	0.0	2500.0	86.29	1.0
4106.0	176.28	145.1	7.32	0.75	0.0	0.0	2500.0	56.73	1.0
4159.0	176.32	145.13	7.32	1.24	0.0	0.0	2500.0	-40.91	1.0
4211.0	176.54	145.3	7.32	1.04	0.0	0.0	2500.0	-0.6	1.0
4272.0	176.54	145.31	7.32	0.54	0.0	0.0	2500.0	98.11	1.0
4325.0	176.3	145.11	7.32	1.3	0.0	0.0	2500.0	-54.25	1.0
4386.0	176.32	145.17	7.32	0.66	0.0	0.0	2500.0	74.45	1.0
4439.0	176.33	145.21	7.32	0.95	0.0	0.0	2500.0	15.5	1.0
