Log created on 1-5-2018__15.32.43


Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
2210.0	176.75	145.49	7.33	0.58	0.0	0.0	2500.0	95.37	1.0
2272.0	176.78	145.48	7.33	0.64	0.0	0.0	2500.0	83.68	1.0
2333.0	176.82	145.53	7.33	1.04	0.0	0.0	2500.0	5.6	1.0
2395.0	176.84	145.54	7.33	1.06	0.0	0.0	2500.0	1.57	1.0
2447.0	176.79	145.54	7.33	1.0	0.0	0.0	2500.0	10.93	1.0
2508.0	176.8	145.55	7.33	0.98	0.0	0.0	2500.0	16.03	1.0
2578.0	176.76	145.48	7.33	0.97	0.0	0.0	2500.0	15.46	1.0
2631.0	176.78	145.52	7.33	1.03	0.0	0.0	2500.0	6.15	1.0
2692.0	176.78	145.5	7.33	1.35	0.0	0.0	2500.0	-57.91	1.0
2753.0	176.76	145.51	7.33	1.28	0.0	0.0	2500.0	-46.58	1.0
2823.0	176.74	145.51	7.33	0.83	0.0	0.0	2500.0	46.18	1.0
2876.0	176.74	145.52	7.33	0.81	0.0	0.0	2500.0	48.74	1.0
2937.0	176.76	145.52	7.33	0.5	0.0	0.0	2500.0	100.0	1.0
2990.0	176.78	145.51	7.33	1.05	0.0	0.0	2500.0	-0.08	1.0
3051.0	176.73	145.5	7.33	0.85	0.0	0.0	2500.0	42.95	1.0
3111.0	176.74	145.46	7.33	0.68	0.0	0.0	2500.0	76.12	1.0
3173.0	176.81	145.52	7.33	0.67	0.0	0.0	2500.0	78.07	1.0
3234.0	176.8	145.52	7.33	0.53	0.0	0.0	2500.0	100.0	1.0
3296.0	176.82	145.52	7.33	0.56	0.0	0.0	2500.0	99.57	1.0
3357.0	176.8	145.54	7.33	0.7	0.0	0.0	2500.0	72.38	1.0
3418.0	176.82	145.55	7.33	0.83	0.0	0.0	2500.0	53.03	1.0
3479.0	176.81	145.53	7.33	1.29	0.0	0.0	2500.0	-41.93	1.0
3540.0	176.77	145.51	7.33	0.6	0.0	0.0	2500.0	96.16	1.0
3602.0	176.8	145.51	7.33	1.21	0.0	0.0	2500.0	-29.51	1.0
3654.0	176.83	145.52	7.33	0.71	0.0	0.0	2500.0	73.71	1.0
3724.0	176.79	145.53	7.33	1.1	0.0	0.0	2500.0	-9.86	1.0
3777.0	176.77	145.53	7.33	0.51	0.0	0.0	2500.0	100.0	1.0
3838.0	176.81	145.54	7.33	0.7	0.0	0.0	2500.0	63.75	1.0
3899.0	176.82	145.54	7.33	1.0	0.0	0.0	2500.0	2.5	1.0
3951.0	176.79	145.52	7.33	1.16	0.0	0.0	2500.0	-33.75	1.0
4013.0	176.78	145.51	7.33	0.53	0.0	0.0	2500.0	98.45	1.0
4066.0	176.8	145.54	7.33	1.49	0.0	0.0	2500.0	-100.0	1.0
4126.0	176.81	145.54	7.33	0.67	0.0	0.0	2500.0	69.87	1.0
4188.0	176.81	145.55	7.33	0.7	0.0	0.0	2500.0	63.73	1.0
4240.0	176.84	145.53	7.33	1.03	0.0	0.0	2500.0	-3.91	1.0
4301.0	176.81	145.55	7.33	1.42	0.0	0.0	2500.0	-90.02	1.0
4355.0	176.83	145.55	7.33	0.89	0.0	0.0	2500.0	21.41	1.0
4433.0	176.86	145.61	7.33	1.11	0.0	0.0	2500.0	-24.4	1.0
4494.0	176.87	145.6	7.33	1.0	0.0	0.0	2500.0	0.83	1.0
4547.0	176.86	145.59	7.33	0.77	0.0	0.0	2500.0	47.38	1.0
4599.0	176.81	145.56	7.33	0.65	0.0	0.0	2500.0	74.05	1.0
4660.0	176.81	145.53	7.33	0.58	0.0	0.0	2500.0	88.33	1.0
4712.0	176.86	145.58	7.33	0.55	0.0	0.0	2500.0	94.47	1.0
4773.0	176.81	145.56	7.33	0.77	0.0	0.0	2500.0	47.27	1.0
4835.0	176.77	145.52	7.33	1.26	0.0	0.0	2500.0	-55.53	1.0
4888.0	176.8	145.54	7.33	1.34	0.0	0.0	2500.0	-74.74	1.0
4948.0	176.79	145.56	7.33	0.68	0.0	0.0	2500.0	64.79	1.0
5001.0	176.81	145.56	7.33	0.64	0.0	0.0	2500.0	0.0	0.0
5062.0	176.83	145.55	7.33	0.9	0.0	0.0	2500.0	23.0	1.0
5124.0	176.81	145.57	7.33	1.15	0.0	0.0	2500.0	-31.94	1.0
5185.0	176.83	145.58	7.33	0.95	0.0	0.0	2500.0	9.26	1.0
5237.0	176.79	145.54	7.33	0.87	0.0	0.0	2500.0	29.15	1.0
5298.0	176.83	145.54	7.33	1.14	0.0	0.0	2500.0	-29.88	1.0
5351.0	176.82	145.52	7.33	0.83	0.0	0.0	2500.0	35.3	1.0
5412.0	176.86	145.55	7.33	0.93	0.0	0.0	2500.0	16.37	1.0
5465.0	176.85	145.59	7.33	0.97	0.0	0.0	2500.0	6.94	1.0
5526.0	176.87	145.59	7.33	1.34	0.0	0.0	2500.0	-72.29	1.0
5578.0	176.82	145.6	7.33	0.65	0.0	0.0	2500.0	71.09	1.0
5640.0	176.83	145.57	7.33	0.53	0.0	0.0	2500.0	98.52	1.0
5692.0	176.84	145.6	7.34	1.29	0.0	0.0	2500.0	-65.0	1.0
5753.0	176.86	145.63	7.34	1.04	0.0	0.0	2500.0	-11.53	1.0
5806.0	176.81	145.62	7.33	0.91	0.0	0.0	2500.0	16.17	1.0
