Log created on 11-5-2018__16.28.0


Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
30228.0	23.17	28.24	1.14	14.76	9.0	0.0	3300.0	0.0	0.0
30287.0	23.22	28.21	1.14	14.8	9.0	0.0	3300.0	0.0	0.0
30347.0	23.21	28.18	1.14	14.87	9.0	0.0	3300.0	0.0	0.0
30401.0	23.18	28.25	1.14	14.96	9.0	0.0	3300.0	0.0	0.0
30460.0	23.22	28.25	1.14	15.04	9.0	0.0	3300.0	0.0	0.0
30519.0	23.23	28.3	1.14	15.09	9.0	0.0	3300.0	0.0	0.0
30578.0	23.21	28.24	1.14	15.09	9.0	0.0	3300.0	0.0	0.0
30638.0	23.2	28.21	1.14	15.08	9.0	0.0	3300.0	0.0	0.0
30692.0	23.28	28.25	1.14	15.04	9.0	0.0	3300.0	0.0	0.0
30751.0	23.27	28.28	1.14	15.04	9.0	0.0	3300.0	0.0	0.0
30810.0	23.25	28.25	1.14	15.01	9.0	0.0	3300.0	0.0	0.0
30860.0	23.25	28.26	1.14	14.76	9.0	0.0	3300.0	0.0	0.0
30918.0	23.24	28.26	1.14	14.53	9.0	0.0	3300.0	0.0	0.0
30983.0	23.35	28.26	1.14	14.42	9.0	0.0	3300.0	0.0	0.0
31037.0	23.24	28.22	1.14	14.38	9.0	0.0	3300.0	0.0	0.0
31096.0	23.27	28.21	1.14	14.5	9.0	0.0	3300.0	0.0	0.0
31151.0	23.08	28.16	1.14	14.74	9.0	0.0	3300.0	0.0	0.0
31209.0	23.24	28.34	1.14	14.94	9.0	0.0	3300.0	0.0	0.0
31268.0	23.23	28.38	1.14	14.9	9.0	0.0	3300.0	0.0	0.0
31323.0	23.26	28.24	1.14	14.82	9.0	0.0	3300.0	0.0	0.0
31382.0	23.21	28.21	1.14	14.7	9.0	0.0	3300.0	0.0	0.0
31441.0	22.98	28.05	1.15	14.62	9.0	0.0	3300.0	0.0	0.0
31496.0	22.86	28.09	1.15	14.74	9.0	0.0	3300.0	0.0	0.0
31559.0	23.18	28.34	1.14	14.85	9.0	0.0	3300.0	0.0	0.0
31608.0	23.1	28.27	1.14	14.9	9.0	0.0	3300.0	0.0	0.0
31668.0	23.18	28.22	1.14	14.93	9.0	0.0	3300.0	0.0	0.0
31727.0	23.19	28.22	1.14	14.93	9.0	0.0	3300.0	0.0	0.0
31781.0	23.11	28.17	1.14	14.97	9.0	0.0	3300.0	0.0	0.0
31845.0	23.05	28.17	1.14	14.98	9.0	0.0	3300.0	0.0	0.0
31899.0	23.21	28.23	1.14	14.83	9.0	0.0	3300.0	0.0	0.0
31953.0	23.28	28.26	1.14	14.83	9.0	0.0	3300.0	0.0	0.0
32013.0	23.28	28.25	1.14	14.81	9.0	0.0	3300.0	0.0	0.0
32072.0	23.31	28.23	1.14	14.87	9.0	0.0	3300.0	0.0	0.0
32132.0	23.32	28.24	1.14	14.87	9.0	0.0	3300.0	0.0	0.0
32190.0	23.27	28.24	1.14	14.88	9.0	0.0	3300.0	0.0	0.0
32249.0	23.27	28.24	1.14	14.94	9.0	0.0	3300.0	0.0	0.0
32304.0	23.22	28.21	1.14	14.91	9.0	0.0	3300.0	0.0	0.0
32363.0	23.3	28.19	1.14	14.82	9.0	0.0	3300.0	0.0	0.0
32412.0	23.26	28.22	1.14	14.75	9.0	0.0	3300.0	0.0	0.0
32477.0	23.33	28.25	1.14	14.78	9.0	0.0	3300.0	0.0	0.0
32536.0	23.28	28.25	1.14	14.78	9.0	0.0	3300.0	0.0	0.0
32594.0	23.26	28.24	1.14	14.67	9.0	0.0	3300.0	0.0	0.0
32649.0	23.3	28.24	1.14	14.58	9.0	0.0	3300.0	0.0	0.0
32708.0	23.33	28.23	1.14	14.56	9.0	0.0	3300.0	0.0	0.0
32762.0	23.33	28.24	1.14	14.59	9.0	0.0	3300.0	0.0	0.0
32822.0	23.33	28.23	1.14	14.64	9.0	0.0	3300.0	0.0	0.0
32876.0	23.29	28.24	1.14	14.73	9.0	0.0	3300.0	0.0	0.0
32940.0	23.37	28.27	1.14	14.82	9.0	0.0	3300.0	0.0	0.0
32989.0	23.35	28.29	1.14	14.82	9.0	0.0	3300.0	0.0	0.0
33048.0	23.34	28.24	1.14	14.84	9.0	0.0	3300.0	0.0	0.0
33102.0	23.25	28.25	1.14	14.76	9.0	0.0	3300.0	0.0	0.0
33157.0	23.29	28.29	1.14	14.71	9.0	0.0	3300.0	0.0	0.0
33211.0	23.28	28.29	1.14	14.71	9.0	0.0	3300.0	0.0	0.0
33275.0	23.28	28.3	1.14	14.74	9.0	0.0	3300.0	0.0	0.0
33330.0	23.24	28.28	1.14	14.86	9.0	0.0	3300.0	0.0	0.0
33388.0	23.26	28.22	1.14	14.95	9.0	0.0	3300.0	0.0	0.0
33447.0	23.3	28.21	1.14	15.0	9.0	0.0	3300.0	0.0	0.0
33497.0	23.3	28.25	1.14	15.03	9.0	0.0	3300.0	0.0	0.0
33556.0	23.27	28.25	1.14	14.99	9.0	0.0	3300.0	0.0	0.0
33610.0	23.09	28.27	1.14	15.04	9.0	0.0	3300.0	0.0	0.0
33665.0	23.24	28.42	1.13	14.98	9.0	0.0	3300.0	0.0	0.0
33724.0	23.27	28.32	1.14	14.93	9.0	0.0	3300.0	0.0	0.0
33778.0	23.29	28.24	1.14	14.83	9.0	0.0	3300.0	0.0	0.0
33832.0	23.29	28.17	1.14	14.64	9.0	0.0	3300.0	0.0	0.0
33887.0	22.72	28.01	1.14	14.56	9.0	0.0	3300.0	0.0	0.0
33945.0	22.62	28.1	1.14	14.72	9.0	0.0	3300.0	0.0	0.0
34004.0	23.08	28.33	1.13	14.67	9.0	0.0	3300.0	0.0	0.0
34059.0	23.13	28.21	1.14	14.61	9.0	0.0	3300.0	0.0	0.0
34118.0	23.19	28.16	1.14	14.58	9.0	0.0	3300.0	0.0	0.0
34172.0	23.2	28.22	1.14	14.54	9.0	0.0	3300.0	0.0	0.0
34232.0	23.19	28.23	1.14	14.59	9.0	0.0	3300.0	0.0	0.0
34290.0	23.23	28.25	1.14	14.68	9.0	0.0	3300.0	0.0	0.0
34350.0	23.18	28.25	1.14	14.75	9.0	0.0	3300.0	0.0	0.0
34409.0	23.26	28.25	1.14	14.75	9.0	0.0	3300.0	0.0	0.0
34463.0	23.27	28.24	1.14	14.8	9.0	0.0	3300.0	0.0	0.0
34518.0	23.29	28.24	1.14	14.84	9.0	0.0	3300.0	0.0	0.0
34577.0	23.28	28.22	1.14	14.85	9.0	0.0	3300.0	0.0	0.0
34635.0	23.3	28.24	1.14	14.85	9.0	0.0	3300.0	0.0	0.0
34695.0	23.31	28.24	1.14	14.82	9.0	0.0	3300.0	0.0	0.0
34754.0	23.29	28.24	1.14	14.85	9.0	0.0	3300.0	0.0	0.0
34808.0	23.28	28.21	1.14	14.9	9.0	0.0	3300.0	0.0	0.0
34870.0	23.32	28.43	1.14	14.93	9.0	0.0	3300.0	0.0	0.0
34919.0	23.42	20.05	1.15	15.06	9.0	0.0	3400.0	0.0	0.0
34983.0	-52.25	-29.0	1.15	14.99	9.0	0.0	3600.0	0.0	0.0
35039.0	-132.07	-99.29	1.15	15.12	9.0	0.0	3600.0	0.0	0.0
35091.0	-200.36	-179.96	1.15	15.38	9.0	0.0	3600.0	0.0	0.0
35150.0	-239.61	-213.78	1.15	15.9	9.0	0.0	3600.0	0.0	0.0
35206.0	-239.02	-212.3	1.15	15.98	9.0	0.0	3600.0	0.0	0.0
35255.0	-198.8	-174.95	1.15	16.22	9.0	0.0	3600.0	0.0	0.0
35314.0	-243.36	-215.38	1.15	16.67	9.0	1350.01	3600.0	0.0	2.0
35367.0	-269.62	-239.26	1.15	16.7	9.0	1350.01	3600.0	0.0	2.0
35422.0	-248.95	-219.3	1.16	16.44	9.0	22189.35	3600.0	0.0	2.0
35481.0	-186.56	-162.3	1.16	16.55	9.0	22189.35	3600.0	0.0	2.0
35544.0	-126.22	-115.75	1.15	16.68	9.0	4271.07	3600.0	0.0	2.0
35604.0	-150.16	-133.88	1.15	16.85	9.0	1983.08	3600.0	0.0	2.0
35661.0	-178.0	-171.85	1.15	16.93	9.0	21398.0	3600.0	0.0	2.0
35717.0	-201.27	-176.02	1.15	16.95	9.0	45454.55	3600.0	0.0	2.0
35779.0	-198.15	-173.46	1.15	16.93	9.0	130434.78	3600.0	0.0	2.0
35834.0	-112.77	-95.33	1.16	16.99	9.0	5324.81	3600.0	0.0	2.0
35895.0	-58.67	-46.06	1.15	17.01	9.0	234375.0	3600.0	0.0	2.0
35948.0	-122.18	-95.12	1.15	17.07	9.0	17921.15	3600.0	0.0	2.0
36003.0	-158.81	-132.28	1.15	17.1	9.0	17921.15	3600.0	0.0	2.0
36063.0	-112.1	-91.98	1.15	17.08	9.0	394.96	3600.0	0.0	2.0
36120.0	-65.12	-50.6	1.15	17.01	9.0	8314.86	3600.0	0.0	2.0
36178.0	-51.05	-38.58	1.16	17.05	9.0	16304.35	3600.0	0.0	2.0
36238.0	-18.73	-9.4	1.15	17.07	9.0	16304.35	3600.0	0.0	2.0
36303.0	-13.58	-4.83	1.15	17.03	9.0	19815.06	3600.0	-100.0	1.0
36355.0	-52.72	-40.68	1.15	16.82	9.0	6573.18	3600.0	-100.0	1.0
36418.0	-99.52	-94.68	1.15	16.9	9.0	57251.91	3600.0	-100.0	1.0
36476.0	-125.57	-123.65	1.15	16.79	9.0	57251.91	3600.0	-100.0	1.0
36537.0	-56.95	-53.46	1.15	16.79	9.0	3750000.0	3600.0	-100.0	1.0
36589.0	-45.72	-52.15	1.15	16.82	9.0	25728.99	3600.0	-100.0	1.0
36648.0	-60.31	-58.2	1.15	16.7	9.0	1283.37	3600.0	-100.0	1.0
36707.0	-137.18	-123.29	1.16	16.65	9.0	8542.14	3600.0	-100.0	1.0
36765.0	-102.37	-89.6	1.15	16.57	9.0	5000000.0	3600.0	-100.0	1.0
36820.0	-121.04	-105.24	1.14	16.57	9.0	428571.44	3600.0	-100.0	1.0
36879.0	-90.16	-60.95	1.15	16.56	9.0	428571.44	3600.0	-100.0	1.0
36932.0	-95.19	-71.05	1.15	16.44	9.0	428571.44	3600.0	-100.0	1.0
36994.0	-46.46	-30.56	1.15	16.42	9.0	1770.54	3600.0	-100.0	1.0
37044.0	-18.4	-6.64	1.15	16.47	9.0	1450.82	3600.0	-100.0	1.0
37101.0	-110.96	-92.54	1.15	16.41	9.0	7009.35	3600.0	-100.0	1.0
37158.0	-184.66	-160.56	1.15	16.37	9.0	979.56	3600.0	-100.0	1.0
37221.0	-153.66	-132.62	1.15	16.45	9.0	871.54	3600.0	-100.0	1.0
37273.0	-194.42	-170.06	1.15	16.54	9.0	1458.01	3600.0	-100.0	1.0
37330.0	-233.8	-206.17	1.15	16.52	9.0	1389.53	3600.0	-100.0	1.0
37392.0	-249.54	-220.63	1.15	16.46	9.0	42492.92	3600.0	-100.0	1.0
37447.0	-254.66	-225.35	1.15	16.45	9.0	3490.0	3600.0	-100.0	1.0
37498.0	-274.68	-243.67	1.15	16.47	9.0	3490.0	3600.0	-100.0	1.0
37557.0	-288.35	-256.2	1.15	16.5	9.0	3490.0	3600.0	-100.0	1.0
37620.0	-297.14	-264.27	1.15	16.45	9.0	3490.0	3600.0	-100.0	1.0
37684.0	-302.17	-268.85	1.15	16.57	9.0	3490.0	3600.0	-100.0	1.0
37736.0	-304.56	-271.07	1.15	16.45	9.0	3490.0	3600.0	-100.0	1.0
37793.0	-306.21	-272.59	1.15	16.35	9.0	3490.0	3600.0	-100.0	1.0
37852.0	-307.19	-273.48	1.15	16.23	9.0	3490.0	3600.0	-100.0	1.0
37909.0	-307.8	-274.02	1.15	16.11	9.0	3490.0	3600.0	-100.0	1.0
37967.0	-308.13	-274.31	1.15	16.18	9.0	3490.0	3600.0	-100.0	1.0
38025.0	-308.34	-274.45	1.15	16.28	9.0	3490.0	3600.0	-100.0	1.0
38077.0	-308.48	-274.58	1.15	16.31	9.0	3490.0	3600.0	-100.0	1.0
38147.0	-308.55	-274.66	1.15	16.43	9.0	3490.0	3600.0	-100.0	1.0
38204.0	-308.62	-274.73	1.15	16.35	9.0	3490.0	3600.0	-100.0	1.0
38262.0	-308.6	-274.71	1.15	16.28	9.0	3490.0	3600.0	-100.0	1.0
38319.0	-308.67	-274.75	1.15	16.54	9.0	0.0	3600.0	-100.0	0.0
38380.0	-308.68	-274.75	1.15	16.71	9.0	0.0	3600.0	-100.0	0.0
38435.0	-308.65	-274.71	1.15	16.8	9.0	0.0	3600.0	-100.0	0.0
38496.0	-308.66	-274.7	1.15	16.71	9.0	0.0	3600.0	-100.0	0.0
38551.0	-308.64	-274.67	1.15	16.69	9.0	0.0	3600.0	-100.0	0.0
38623.0	-308.59	-274.65	1.15	16.57	9.0	0.0	3600.0	-100.0	0.0
38683.0	-308.59	-274.65	1.15	16.51	9.0	0.0	3600.0	-100.0	0.0
38745.0	-308.57	-274.63	1.15	16.43	9.0	0.0	3600.0	-100.0	0.0
38800.0	-308.53	-274.6	1.15	16.43	9.0	0.0	3600.0	-100.0	0.0
38860.0	-308.54	-274.58	1.15	16.39	9.0	0.0	3600.0	-100.0	0.0
38921.0	-308.56	-274.62	1.15	16.4	9.0	0.0	3600.0	-100.0	0.0
38976.0	-308.59	-274.63	1.15	16.34	9.0	0.0	3600.0	-100.0	0.0
39037.0	-308.61	-274.65	1.15	16.34	9.0	0.0	3600.0	-100.0	0.0
39093.0	-308.65	-274.7	1.15	16.27	9.0	0.0	3600.0	-100.0	0.0
39148.0	-308.63	-274.69	1.15	16.22	9.0	0.0	3600.0	-100.0	0.0
39208.0	-308.61	-274.64	1.15	16.25	9.0	0.0	3600.0	-100.0	0.0
39264.0	-308.59	-274.64	1.15	16.25	9.0	0.0	3600.0	-100.0	0.0
39319.0	-308.53	-274.61	1.15	16.26	9.0	0.0	3600.0	-100.0	0.0
39374.0	-308.58	-274.62	1.15	16.27	9.0	0.0	3600.0	-100.0	0.0
39430.0	-308.51	-274.6	1.15	16.25	9.0	0.0	3600.0	-100.0	0.0
39485.0	-308.51	-274.61	1.16	16.22	9.0	0.0	3600.0	-100.0	0.0
39540.0	-308.53	-274.6	1.16	16.09	9.0	0.0	3600.0	-100.0	0.0
39601.0	-308.57	-274.63	1.15	16.09	9.0	0.0	3600.0	-100.0	0.0
39651.0	-307.34	-274.23	1.15	16.05	9.0	0.0	3600.0	-100.0	0.0
39706.0	-307.81	-274.37	1.15	16.35	9.0	0.0	3600.0	-100.0	0.0
39761.0	-308.08	-274.5	1.15	16.59	9.0	0.0	3600.0	-100.0	0.0
39822.0	-308.04	-274.47	1.15	16.74	9.0	0.0	3600.0	-100.0	0.0
39877.0	-308.25	-274.5	1.15	16.63	9.0	0.0	3600.0	-100.0	0.0
39932.0	-308.42	-274.58	1.14	16.63	9.0	0.0	3600.0	-100.0	0.0
39999.0	-308.45	-274.52	1.15	16.46	9.0	0.0	3600.0	-100.0	0.0
40053.0	-308.49	-274.56	1.15	16.18	9.0	0.0	3600.0	-100.0	0.0
40109.0	-308.49	-274.51	1.15	16.2	9.0	0.0	3600.0	-100.0	0.0
40164.0	-308.44	-274.34	1.15	16.26	9.0	0.0	3600.0	-100.0	0.0
40219.0	-308.42	-274.29	1.15	16.22	9.0	0.0	3600.0	-100.0	0.0
40281.0	-308.45	-274.26	1.15	16.33	9.0	0.0	3600.0	-100.0	0.0
40336.0	-308.49	-274.2	1.15	16.4	9.0	0.0	3600.0	-100.0	0.0
40391.0	-308.25	-274.08	1.15	16.41	9.0	0.0	3600.0	-100.0	0.0
40446.0	-308.26	-274.12	1.15	16.38	9.0	0.0	3600.0	-100.0	0.0
40502.0	-308.35	-274.26	1.15	16.4	9.0	0.0	3600.0	-100.0	0.0
40562.0	-308.24	-274.17	1.15	16.48	9.0	0.0	3600.0	-100.0	0.0
40623.0	-308.32	-274.31	1.15	16.44	9.0	0.0	3600.0	-100.0	0.0
40684.0	-308.39	-274.42	1.15	16.34	9.0	0.0	3600.0	-100.0	0.0
40739.0	-308.5	-274.53	1.15	16.26	9.0	0.0	3600.0	-100.0	0.0
40794.0	-308.55	-274.54	1.15	16.21	9.0	0.0	3600.0	-100.0	0.0
40849.0	-308.57	-274.58	1.15	16.24	9.0	0.0	3600.0	-100.0	0.0
40910.0	-308.52	-274.63	1.15	16.2	9.0	0.0	3600.0	-100.0	0.0
40966.0	-308.48	-274.59	1.15	16.09	9.0	0.0	3600.0	-100.0	0.0
41015.0	-308.49	-274.58	1.15	16.02	9.0	0.0	3600.0	-100.0	0.0
41076.0	-308.47	-274.55	1.15	15.96	9.0	0.0	3600.0	-100.0	0.0
41137.0	-308.5	-274.56	1.15	15.97	9.0	0.0	3600.0	-100.0	0.0
41192.0	-308.47	-274.59	1.15	15.98	9.0	0.0	3600.0	-100.0	0.0
41247.0	-308.49	-274.55	1.15	16.0	9.0	0.0	3600.0	-100.0	0.0
41303.0	-308.52	-274.58	1.15	16.0	9.0	0.0	3600.0	-100.0	0.0
41358.0	-308.52	-274.61	1.15	15.99	9.0	0.0	3600.0	-100.0	0.0
41418.0	-308.5	-274.6	1.15	16.09	9.0	0.0	3600.0	-100.0	0.0
41468.0	-308.5	-274.53	1.15	16.09	9.0	0.0	3600.0	-100.0	0.0
41529.0	-308.49	-274.54	1.15	16.07	9.0	0.0	3600.0	-100.0	0.0
41584.0	-308.46	-274.55	1.15	16.08	9.0	0.0	3600.0	-100.0	0.0
41645.0	-308.45	-274.53	1.15	16.05	9.0	0.0	3600.0	-100.0	0.0
41700.0	-308.47	-274.49	1.15	15.93	9.0	0.0	3600.0	-100.0	0.0
