Log created on 30-4-2018__13.3.53
TesData

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
11368.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
11419.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11470.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11522.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
11573.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11624.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11675.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11726.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
11778.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11829.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11886.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11931.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
11988.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12034.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12085.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
12142.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12193.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12244.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12296.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12353.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12398.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12449.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12500.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12552.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12603.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12649.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12700.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12745.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12797.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
12849.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
12905.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
12956.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
13007.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13059.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13110.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13172.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
13218.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
13281.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13349.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13406.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13457.0	198.19	189.66	833.32	19.97	51.0	0.0	2500.0	0.0	0.0
13508.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13559.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13611.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13657.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13708.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13765.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13810.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13868.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13919.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
13970.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
14015.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
14066.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14117.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14169.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14220.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14266.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
14311.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14362.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14408.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14459.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14511.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14556.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14607.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
14658.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14709.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
14760.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14807.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14864.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14909.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
14960.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15006.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
15057.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15109.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
15160.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
15211.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15256.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15313.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15358.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15410.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15461.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15512.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
15563.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15609.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15661.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15706.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15757.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15808.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
15865.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15911.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
15963.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16014.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16065.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16116.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16167.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16219.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16264.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16315.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16366.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16412.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16463.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16508.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
16566.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
16617.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16668.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16713.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16765.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16817.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16868.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
16919.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
16964.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17015.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17061.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17113.0	198.19	189.66	833.32	19.97	51.0	0.0	2500.0	0.0	0.0
17164.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17215.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17277.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17329.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17380.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17431.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17488.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17533.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17585.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
17631.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
17687.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
17733.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17784.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17836.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17881.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17932.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
17983.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
18034.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
18085.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
18131.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
18183.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
18234.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
18285.0	198.19	189.66	833.32	19.95	51.0	0.0	2500.0	0.0	0.0
18330.0	198.19	189.66	833.32	19.96	51.0	0.0	2500.0	0.0	0.0
