Log created on 4-5-2018__14.14.31
12

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
8053.0	175.01	148.86	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8114.0	175.02	148.86	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8179.0	175.02	148.83	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8235.0	175.03	148.85	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8294.0	175.03	148.87	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8359.0	175.02	148.87	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8420.0	175.02	148.86	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8480.0	175.02	148.88	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8545.0	175.02	148.87	7.25	19.98	0.0	0.0	2500.0	0.0	0.0
8605.0	175.02	148.86	7.25	19.98	0.0	0.0	2500.0	0.0	0.0

================================Data log ends here================================
